"Date (MM/DD/YYYY)","Category","Amount","Note"
"12/25/2018","Food","-28.05",""
"12/25/2018","Food","-16.33",""
"12/25/2018","Consumables","-13.74","Soap, washing Mara 2kg, shampoo."
"12/25/2018","Food","-12.27",""
"12/25/2018","Food","-15.74",""
"12/22/2018","Med","-51.2","4 stage stomatolgy, one plomb 7 teeth number."
"12/22/2018","Consumables","-3.0","5 bus tickets"
"12/19/2018","Med","-153.12","3  stage stomatology"
"12/18/2018","Food","-244.2","2 stage stomatologia"
"12/18/2018","Consumables","-2.4","4 bus tikets"
"12/14/2018","Food","-26.02",""
"12/14/2018","Med","-4.42","2 pack Artemisia"
"12/14/2018","Med","-6.42","dental floss in Ostrov Chistoty"
"12/14/2018","Med","-15.17","teeth dental floss, parfum Consul in oz.by"
"12/14/2018","Consumables","-1.49","T-papper"
"12/14/2018","Food","-19.69",""
"12/14/2018","Consumables","-0.78","2gel pen stic"
"12/14/2018","Fun","-32.38","parfume 10 Avenue "
"12/12/2018","Med","-53.51","toothbrush Oral-B, Lacalut fluor, Listerine"
"12/12/2018","Med","-109.11","First stage in teeth recovery."
"12/11/2018","Bills","-47.94","Rogachev's home"
"12/11/2018","Food","-25.57",""
"12/11/2018","Food","-14.67",""
"12/09/2018","Bills","-2.67","propan for November, date in 7/12/2018"
"12/05/2018","Food","-15.73",""
"12/05/2018","Med","-4.84","Deviasil roots, Hydrogen peroxide"
"12/05/2018","Food","-10.69",""
"12/05/2018","Food","-23.92",""
"12/05/2018","Food","-28.85",""
"12/05/2018","Food","-19.12",""
"12/05/2018","Food","-11.79",""
"11/27/2018","Food","-4.19",""
"11/27/2018","Med","-33.6","Parfume Atlantica Taboo"
"11/26/2018","Food","-12.96",""
"11/26/2018","Food","-5.99","Coffee"
"11/24/2018","Income","85.0","29/11 ???"
"11/24/2018","Med","-6.3","devyasil and tallons bus"
"11/24/2018","Food","-30.25",""
"11/24/2018","Food","-27.49",""
"11/24/2018","Food","-17.94",""
"11/24/2018","Food","-13.01",""
"11/24/2018","Food","-15.28",""
"11/24/2018","Food","-17.37",""
"11/24/2018","Food","-20.26",""
"11/24/2018","Food","-27.02",""
"11/24/2018","Food","-23.6",""
"11/24/2018","Food","-11.39",""
"11/24/2018","Food","-8.34",""
"11/24/2018","Food","-15.86",""
"11/22/2018","Bills","-165.0","Татьяне за Декабрь."
"11/15/2018","Income","115.0","In those two ower jobday"
"11/12/2018","Bills","-45.13","Rogachev"
"11/10/2018","Bills","-20.62","Propan/butan in Rogachev and internet to Dec"
"11/10/2018","Income","380.0","1Nov to ower money"
"11/03/2018","Food","-13.58",""
"10/31/2018","Med","-4.01","Eleuterokokk"
"10/31/2018","Food","-16.12",""
"10/31/2018","Food","-19.64",""
"10/31/2018","Food","-12.6","Gippo"
"10/31/2018","Med","-7.55","Plastirb and hlorgexedin 2 botls"
"10/31/2018","Food","-13.52",""
"10/31/2018","Food","-22.75",""
"10/31/2018","Consumables","-2.4","4 talons to bus"
"10/31/2018","Food","-21.0",""
"10/31/2018","Food","-24.42",""
"10/29/2018","Bills","-18.0","mobile internet to Novembre"
"10/26/2018","Defence","-42.0","IP cam"
"10/24/2018","Income","220.0","22-го кусок"
"10/23/2018","Bills","-165.0","Татьяне за Ноябрь"
"10/19/2018","Income","500.0","12.10"
"10/19/2018","Food","-17.91",""
"10/19/2018","Food","-4.7",""
"10/19/2018","Food","-20.55",""
"10/19/2018","Food","-14.85",""
"10/19/2018","Food","-24.95",""
"10/19/2018","Food","-30.97",""
